COLL_NOM;COLL_INSEE;ENFANT_SEXE;ENFANT_PRENOM;NOMBRE_OCCURENCES;﻿ANNEE
ANGERS;49007;F;Mila;18;2017
ANGERS;49007;F;Apolline;11;2017
ANGERS;49007;F;Cléa;4;2017
ANGERS;49007;F;Maëlle;4;2017
ANGERS;49007;F;Charlotte;20;2018
ANGERS;49007;F;Alix;7;2018
ANGERS;49007;F;Anaé;6;2018
ANGERS;49007;M;Noham;4;2013
ANGERS;49007;M;Marceau;11;2015
ANGERS;49007;M;Yassine;4;2015
ANGERS;49007;M;Eliott;20;2016
ANGERS;49007;M;Milan;6;2016
ANGERS;49007;M;Sacha;36;2017
ANGERS;49007;M;Simon;12;2017
ANGERS;49007;M;Amaury;7;2017
ANGERS;49007;M;Kenzo;5;2017
ANGERS;49007;M;Auguste;4;2017
ANGERS;49007;M;Auguste;5;2016
ANGERS;49007;M;Louis;44;2017
ANGERS;49007;M;Charles;4;2017
ANGERS;49007;M;Gustave;4;2017
ANGERS;49007;M;Hamza;4;2017
ANGERS;49007;M;Axel;20;2018
ANGERS;49007;M;Eliot;7;2018
ANGERS;49007;M;Kylian;6;2018
ANGERS;49007;M;Achille;5;2018
ANGERS;49007;M;Wassim;5;2018
ANGERS;49007;M;Timothée;4;2018
ANGERS;49007;F;Enora;20;2013
ANGERS;49007;F;Lina;19;2013
ANGERS;49007;F;Marie;7;2013
ANGERS;49007;F;Calie;5;2013
ANGERS;49007;F;Lou-Ann;5;2013
ANGERS;49007;F;Capucine;18;2014
ANGERS;49007;F;Lise;9;2014
ANGERS;49007;F;Line;7;2014
ANGERS;49007;F;Emmy;5;2015
ANGERS;49007;F;Suzie;4;2015
ANGERS;49007;F;Lola;34;2016
ANGERS;49007;F;Mila;22;2016
ANGERS;49007;F;Anouk;7;2017
ANGERS;49007;F;Emmy;5;2017
ANGERS;49007;F;Adèle;38;2018
ANGERS;49007;F;Olivia;14;2018
ANGERS;49007;F;Lisa;8;2018
ANGERS;49007;M;Eden;8;2013
ANGERS;49007;M;Yaël;6;2013
ANGERS;49007;M;Issam;5;2013
ANGERS;49007;M;Clément;28;2014
ANGERS;49007;M;Malo;24;2014
ANGERS;49007;M;Enzo;24;2016
ANGERS;49007;F;Agathe;13;2016
ANGERS;49007;F;Elena;5;2016
ANGERS;49007;F;Emma;38;2017
ANGERS;49007;M;Adrien;8;2014
ANGERS;49007;M;Lorenzo;5;2014
ANGERS;49007;M;Ryan;5;2014
ANGERS;49007;M;Eden;14;2015
ANGERS;49007;M;Robin;13;2015
ANGERS;49007;M;Sasha;8;2015
ANGERS;49007;M;Noam;7;2015
ANGERS;49007;M;Timothé;6;2015
ANGERS;49007;M;Naël;10;2014
ANGERS;49007;M;Rayan;6;2015
ANGERS;49007;M;Julian;6;2013
ANGERS;49007;M;Romain;6;2013
ANGERS;49007;M;Emmanuel;4;2016
ANGERS;49007;M;Nahil;4;2016
ANGERS;49007;M;Gaspard;15;2017
ANGERS;49007;M;Mohamed;9;2017
ANGERS;49007;M;Elias;7;2017
ANGERS;49007;M;Titouan;6;2017
ANGERS;49007;M;Luka;5;2017
ANGERS;49007;M;Isaac;9;2018
ANGERS;49007;M;Swan;6;2018
ANGERS;49007;M;Lenzo;5;2018
ANGERS;49007;F;Julia;11;2016
ANGERS;49007;F;Elisa;5;2016
ANGERS;49007;F;Joséphine;6;2017
ANGERS;49007;F;Calie;5;2017
ANGERS;49007;F;Clarisse;5;2017
ANGERS;49007;F;Emma;38;2018
ANGERS;49007;F;Lina;18;2018
ANGERS;49007;F;Mya;11;2018
ANGERS;49007;F;Thaïs;7;2018
ANGERS;49007;F;Maria;6;2018
ANGERS;49007;F;Cléo;4;2018
ANGERS;49007;F;Maddy;4;2018
ANGERS;49007;M;Baptiste;17;2013
ANGERS;49007;M;Enzo;31;2014
ANGERS;49007;M;Marius;25;2014
ANGERS;49007;M;Jean;11;2014
ANGERS;49007;M;Mohamed;7;2014
