Bancs;camera;zone;Pop;5_degres_C_TMG_h;5_degres_C_TMG_j;Aire_sous_la_courbe;15_j;16 _j;17_j;18 _j;19_j ;20 _j;21_j
3;1;11;Témoin;414,00;17,25;2652;4;16;20;24;32;36;40
3;2;11;Témoin;430,86;17,95;2652;0;4;4;12;24;28;28
3;3;11;Témoin;382,86;15,95;2652;8;12;20;20;20;24;28
3;4;11;Témoin;420,00;17,50;2652;4;4;4;4;12;16;16
4;1;11;Témoin;432,89;18,04;2646;4;4;16;16;24;32;36
4;2;11;Témoin;413,82;17,24;2646;8;12;20;32;36;36;44
4;3;11;Témoin;446,80;18,62;2646;4;4;8;16;20;24;40
4;4;11;Témoin;429,60;17,90;2646;0;0;8;8;12;20;20
3;1;11;Témoin;354,22;14,76;5731,2;16;28;28;32;36;36;36
3;2;26;Témoin;377,78;15,74;5731,2;12;20;20;20;32;36;36
3;3;31;Témoin;382,93;15,96;5731,2;20;32;40;52;56;56;60
3;4;46;Témoin;386,91;16,12;5731,2;8;24;32;36;36;36;44
3;3;31;Témoin;382,00;15,92;5731,2;16;24;40;40;44;44;48
4;1;11;Témoin;369,60;15,40;5536;8;16;32;36;40;40;40
4;2;36;Témoin;407,20;16,97;2016;0;8;12;16;20;20;20
4;3;21;Témoin;419,56;17,48;3184;4;8;12;24;32;32;36
4;4;46;Témoin;416,00;17,33;2944;8;12;16;16;24;32;32
4;2;26;Témoin;393,54;16,40;5952;4;24;32;36;44;48;52
3;1;41;Témoin;399,43;16,64;3126,4;4;12;20;20;24;28;28
3;2;36;Témoin;405,78;16,91;3126,4;8;16;20;24;32;32;36
3;3;21;Témoin;387,43;16,14;3126,4;12;20;20;24;24;28;28
3;4;16;Témoin;409,60;17,07;3126,4;0;4;12;16;16;20;20
3;3;21;Témoin;411,20;17,13;3126,4;4;8;24;32;32;40;40
3;2;36;Témoin;381,14;15,88;2504;8;16;24;28;28;28;28
3;3;21;Témoin;380,00;15,83;2352;4;4;12;12;12;12;12
3;1;11;Témoin;435,33;18,14;1868;0;0;8;12;20;20;24
3;3;31;Témoin;404,00;16,83;1868;4;8;16;16;16;16;20
4;1;41;Témoin;396,00;16,50;2240;4;4;8;16;20;20;20
4;2;26;Témoin;434,00;18,08;1776;0;4;4;12;20;20;24
4;3;31;Témoin;395,00;16,46;1808;8;8;8;12;12;12;16
4;4;16;Témoin;397,00;16,54;3552;4;12;20;28;28;28;32
4;2;36;Témoin;432,50;18,02;2416;4;12;12;16;16;24;32
4;2;26;Témoin;488,00;20,33;160;0;0;0;0;0;4;8
4;3;31;Témoin;372,00;15,50;2720;12;12;12;12;12;20;20
4;2;36;Témoin;410,67;17,11;4248;4;8;16;28;36;36;36
4;4;46;Témoin;365,33;15,22;4248;12;20;28;32;36;36;36
3;1;14;803;408,00;17,00;2352;0;4;16;20;20;24;24
3;1;32;803;397,14;16,55;3048;8;8;16;24;28;28;28
3;1;25;803;385,67;16,07;5776;20;24;32;36;40;44;48
4;4;44;803;426,50;17,77;2544;4;12;16;16;20;20;32
4;4;41;803;416,00;17,33;2880;0;4;12;20;32;32;32
3;1;26;803;388,86;16,20;6560;8;28;32;40;52;56;56
4;4;43;803;400,80;16,70;4208;8;16;24;28;36;40;40
4;1;23;803;444,57;18,52;1720;4;4;8;12;12;16;28
3;3;12;803;391,00;16,29;5520;20;24;28;36;44;44;48
4;2;41;803;408,00;17,00;3920;8;16;20;20;32;32;40
3;4;45;803;397,71;16,57;6064;4;24;44;44;48;56;56
4;4;24;803;384,00;16,00;5856;16;36;40;40;40;48;48
3;3;32;803;395,25;16,47;7088;16;36;44;48;52;60;64
3;2;25;803;378,15;15,76;6648;20;32;44;48;52;52;52
3;4;12;803;418,40;17,43;1752;0;4;12;16;16;16;20
3;2;12;803;391,14;16,30;6432;24;24;28;44;48;56;56
3;4;45;803;401,14;16,71;2936;0;12;20;24;28;28;28
3;1;42;803;382,13;15,92;7432;16;32;52;52;56;60;60
3;4;15;803;406,29;16,93;5584;12;16;28;48;48;52;56
3;2;34;803;388,00;16,17;4248;12;20;20;20;36;36;36
3;4;34;803;415,33;17,31;4352;0;12;24;36;40;44;48
4;3;25;803;416,57;17,36;2504;0;8;16;16;24;28;28
4;4;26;803;378,67;15,78;6112;12;24;40;44;44;48;48
4;3;43;803;364,00;15,17;4544;16;16;20;24;28;28;32
3;1;31;803;332,00;13,83;696;4;4;4;4;4;4;4
3;2;14;803;353,78;14,74;5480;12;20;32;36;36;36;36
3;3;46;803;394,86;16,45;3112;4;12;20;24;28;28;28
3;3;35;803;384,00;16,00;4392;12;28;28;32;32;32;36
4;3;33;803;422,00;17,58;2688;0;4;12;20;28;32;32
3;1;34;803;411,20;17,13;1896;4;8;8;12;12;20;20
3;2;16;803;408,50;17,02;3120;4;8;16;24;28;28;32
4;2;16;803;357,33;14,89;1784;8;12;12;12;12;12;12
3;4;26;803;410,67;17,11;1144;0;8;8;8;8;12;12
3;4;33;803;414,22;17,26;3304;4;12;16;24;28;32;36
3;3;15;803;418,55;17,44;3848;0;8;16;32;40;44;44
4;2;44;803;437,33;18,22;2472;4;4;8;16;16;24;36
3;3;35;803;383,60;15,98;4896;12;24;36;36;36;40;40
3;1;24;803;345,00;14,38;5152;12;16;24;28;32;32;32
4;2;44;803;386,67;16,11;2864;8;8;12;20;24;24;24
4;1;24;803;386,35;16,10;8136;24;36;48;64;64;64;68
4;3;16;803;403,33;16,81;7392;20;24;40;48;60;60;72
